Pais,Llamados a la acción,Sanciones Judiciales,Insultos,Fecha pico,Total de impacto de publicaciones,Total Impresiones (veces que se vieron estos mensajes),Xenofobia,% Llamados a la acción,% Sanciones Judiciales,% Insultos
Colombia,51,89,1074,Mar-21,6901.8,2030720,1117,5%,8%,96%
Ecuador,51,20,174,Jun-22,781.8,299917,178,29%,11%,98%
Peru,1,3,31,Feb-23,227.2,25170,32,3%,9%,97%
Colombia,0,0,33,Jun-25,233.1,24243,33,0%,0%,100%
Colombia,1,1,49,Jun-26,458.0,95011,49,2%,2%,100%
Colombia,0,0,32,Jun-27,197.4,37010,32,0%,0%,100%
Peru,5,14,62,Abr-16,182.4,53215,64,8%,22%,97%
Peru,16,24,109,Abr-17,626.3,94299,114,14%,21%,96%
Peru,9,4,27,Abr-18,185.7,24437,30,30%,13%,90%
Ecuador,6,2,46,Abr-2,77.7,38095,46,13%,4%,100%
Ecuador,8,8,57,Abr-3,169.8,63718,58,14%,14%,98%
Ecuador,5,14,71,Abr-4,255.6,69168,71,7%,20%,100%
