Pais;Variable;Fecha;Dato
Colombia;Mecanismo I;31/03/2023;74
Colombia;Mecanismo II;31/03/2023;0
Colombia;Mecanismo III;31/03/2023;1
Ecuador;Mecanismo I;31/03/2023;110
Ecuador;Mecanismo II;31/03/2023;3
Ecuador;Mecanismo III;31/03/2023;5
Peru;Mecanismo I;31/03/2023;319
Peru;Mecanismo II;31/03/2023;7
Peru;Mecanismo III;31/03/2023;12
Colombia;Mecanismo I;30/06/2023;19
Colombia;Mecanismo II;30/06/2023;16
Colombia;Mecanismo III;30/06/2023;19
Ecuador;Mecanismo I;30/06/2023;1
Ecuador;Mecanismo II;30/06/2023;1
Ecuador;Mecanismo III;30/06/2023;4
Peru;Mecanismo I;30/06/2023;7
Peru;Mecanismo II;30/06/2023;5
Peru;Mecanismo III;30/06/2023;15
